0.000,0.000,2000
0.000,0.000,2000
0.306,0.682,1704.0575292855501
0.327,0.676,1705.067196495831
0.334,0.686,1687.0631101727486
0.236,0.667,1707.2270506620407
0.283,0.673,1668.6243310049176
0.363,0.692,1700.9997087866068
0.296,0.676,1725.301906220615
0.296,0.675,1732.0288657024503
0.288,0.667,1731.0050461366773
0.279,0.679,1722.7008372694254
0.260,0.677,1733.6430733166635
0.266,0.664,1756.0510220304132
0.275,0.669,1714.8979464173317
0.297,0.667,1693.619230017066
0.254,0.663,1707.0682381540537
0.251,0.665,1686.8464241749607
0.301,0.685,1672.7891212254763
0.261,0.656,1716.3157850503922
0.266,0.673,1711.0252738595009
0.245,0.672,1715.8961784243584
0.258,0.659,1663.9457338154316
0.299,0.680,1731.2913522422314
0.245,0.662,1732.0131066273898
0.312,0.682,1731.7695119306445
0.250,0.672,1679.1429184563458
0.286,0.677,1725.5505045950413
0.256,0.660,1735.9625872597098
0.259,0.680,1734.2218774240464
0.291,0.665,1729.9067065045238
0.268,0.662,1739.1181785538793
0.311,0.674,1723.6692151278257
0.286,0.681,1701.1737630218267
0.328,0.683,1714.2863858789206
0.270,0.662,1735.0842800214887
0.237,0.662,1758.5966881811619
0.307,0.676,1757.78685054183
0.305,0.682,1730.9312813431025
0.297,0.675,1725.2708676345646
0.251,0.663,1740.1798475533724
0.241,0.669,1723.5736321285367
0.254,0.662,1714.8982855975628
0.271,0.671,1757.0681457873434
0.278,0.669,1649.1756865903735
0.277,0.686,1736.0011485666037
0.292,0.670,1676.773422434926
0.267,0.671,1700.2383331134915
0.308,0.676,1751.9155655354261
0.284,0.663,1734.666755348444
0.299,0.681,1715.9719163309783
0.277,0.663,1741.525106742978
0.349,0.688,1684.10553406924
0.310,0.672,1747.815845169127
0.276,0.664,1775.474574431777
0.286,0.666,1761.858131699264
0.273,0.665,1740.09822884202
0.331,0.690,1666.8772120401263
0.258,0.664,1742.4824035800993
0.240,0.668,1728.6517624557018
0.327,0.678,1735.5772552415729
0.282,0.668,1702.2623135522008
0.317,0.681,1694.4818004146218
0.321,0.689,1739.1252523884177
0.245,0.673,1692.6923472061753
0.266,0.660,1708.9293823316693
0.282,0.660,1672.0249354541302
0.268,0.671,1715.1455701105297
0.256,0.666,1694.7876571044326
0.313,0.674,1731.402094297111
0.305,0.674,1701.2383319735527
0.312,0.682,1695.2861125469208
0.279,0.677,1781.7086474373937
0.255,0.663,1678.8010145314038
0.327,0.682,1712.3847279921174
0.303,0.682,1685.2189735248685
0.291,0.665,1716.3799037653953
0.286,0.660,1742.810006281361
0.298,0.672,1715.0063367038965
0.301,0.686,1737.6585990712047
0.296,0.681,1747.6172701790929
0.321,0.668,1662.976937295869
0.296,0.674,1725.8457145020366
0.250,0.664,1758.0250162556767
0.307,0.684,1744.1444395184517
0.297,0.678,1687.2842828780413
0.297,0.669,1729.620058476925
0.238,0.656,1766.1889667101204
0.307,0.683,1731.731398994103
0.275,0.673,1726.21785960719
0.242,0.663,1728.1428437680006
0.292,0.668,1708.1750660687685
0.329,0.675,1700.4196425788105
0.291,0.670,1702.7677840515971
0.331,0.678,1711.9466344695538
0.317,0.678,1671.1570893451571
0.289,0.664,1729.5864611379802
0.298,0.669,1712.09719209373
0.282,0.671,1737.2617252878845
0.259,0.671,1703.357320472598
0.259,0.669,1726.2962449640036
0.264,0.667,1749.402729704976
0.318,0.678,1731.2758843377233
0.333,0.690,1715.1633120179176
0.231,0.672,1730.7035388499498
0.243,0.655,1768.6572443284094
0.273,0.666,1747.1921200752258
0.294,0.671,1697.913054868579
0.297,0.675,1635.1974955517799
0.282,0.679,1767.1102179028094
0.271,0.671,1712.2827154845
0.314,0.678,1713.1776488497853
0.256,0.662,1717.6089419573545
0.252,0.664,1736.352527655661
0.308,0.677,1700.9760878309608
0.261,0.664,1745.6306583248079
0.321,0.685,1705.205291274935
0.287,0.669,1697.534016020596
0.298,0.681,1718.075729161501
0.298,0.677,1712.2486300729215
0.272,0.684,1729.2980658337474
0.283,0.663,1719.2199288215488
0.254,0.659,1754.0483956933022
0.308,0.681,1736.183438014239
0.260,0.674,1701.6765141934156
0.284,0.676,1693.6294152140617
0.281,0.682,1704.6503769122064
0.361,0.696,1689.034563407302
0.272,0.674,1711.9081735014915
0.248,0.667,1714.141298532486
0.284,0.669,1737.9241101369262
0.271,0.675,1733.3461564779282
0.284,0.680,1727.3661481179297
0.264,0.670,1717.8222479335964
0.226,0.662,1710.585161909461
0.304,0.673,1703.5116095282137
0.262,0.662,1740.3467474281788
0.261,0.668,1726.0954235866666
0.297,0.667,1719.4150755032897
0.283,0.674,1697.851781450212
0.275,0.667,1696.030543744564
0.311,0.677,1706.4392367862165
0.314,0.669,1707.6671592444181
0.314,0.684,1738.4724943339825
0.276,0.675,1707.8622155562043
0.260,0.661,1736.5790972039104
0.349,0.688,1662.9801896307617
0.324,0.674,1689.2114224135876
0.325,0.679,1671.2324313372374
0.297,0.672,1717.1445920094848
0.253,0.667,1718.493358321488
0.289,0.660,1739.512067757547
0.273,0.669,1710.0568680018187
0.278,0.667,1723.1074764002115
0.283,0.661,1749.5361516326666
0.306,0.674,1714.7050777971745
0.220,0.660,1756.4342463314533
0.352,0.686,1702.1246199309826
0.323,0.680,1701.4765232652426
0.290,0.672,1728.7271700948477
0.284,0.679,1676.607455164194
0.260,0.682,1706.0309709701687
0.346,0.679,1759.4592002257705
0.361,0.685,1673.4442132115364
0.262,0.665,1739.2391213849187
0.289,0.668,1725.1890971586108
0.282,0.658,1732.3080652598292
0.281,0.666,1741.9409008808434
0.270,0.672,1703.1599251031876
0.254,0.666,1729.022822983563
0.288,0.671,1681.0049452707171
0.257,0.669,1701.434026390314
0.309,0.680,1774.2316917330027
0.333,0.680,1736.6463600583375
